timestep,fopr,foprh,interval
01.01.2000,10,10.6,HIST
01.02.2000,10.3,10.506,HIST
01.03.2000,10.094,10.39682,HIST
01.04.2000,10.80058,11.9886438,HIST
01.05.2000,10.9085858,11.235843374,HIST
01.06.2000,11.017671658,13.00085255644,HIST
01.07.2000,11.67873195748,11.9123065966296,HIST
01.08.2000,12.3794558749288,14.4839633736667,HIST
01.09.2000,12.1318667574302,12.6171414277274,HIST
01.10.2000,11.646592087133,12.5783194541037,HIST
01.11.2000,12.5783194541037,14.8424169558423,HIST
01.12.2000,12.0751866759395,13.1619534767741,HIST
01.01.2001,12.3166904094583,14.2873608749716,HIST
01.02.2001,13.302025642215,12.7699446165264,HIST
01.03.2001,13.302025642215,16.3614915399244,HIST
01.04.2001,13.7010864114814,15.3452167808592,HIST
01.05.2001,14.5231515961703,14.668383112132,HIST
01.06.2001,15.5397722079022,17.2491471507715,HIST
01.07.2001,16.6275562624554,15.7961784493326,HIST
01.08.2001,17.6252096382027,19.563982698405,HIST
01.09.2001,18.3302180237308,19.7966354656293,HIST
01.10.2001,19.4300311051547,19.0414304830516,HIST
01.11.2001,18.6528298609485,21.2642260414813,HIST
01.12.2001,18.09324496512,22.4356237567488,HIST
01.01.2002,17.5504476161664,18.0769610446514,HIST
01.02.2002,17.3749431400047,21.0236811994057,HIST
01.03.2002,17.7224420028048,19.1402373630292,HIST
01.04.2002,17.1907687427207,19.4255686792744,HIST
01.05.2002,16.5031379930119,17.3282948926625,HIST
01.06.2002,15.8430124732914,19.0116149679497,HIST
01.07.2002,16.9520233464218,20.1729077822419,HIST
01.08.2002,17.6301042802787,18.6879105370954,HIST
01.09.2002,18.5116094942926,22.2139313931511,HIST
01.10.2002,18.8818416841784,20.7700258525963,HIST
01.11.2002,19.0706601010202,23.8383251262753,HIST
01.12.2002,18.87995350001,22.8447437350121,HIST
01.01.2003,20.3903497800108,24.8762267316132,HIST
01.02.2003,19.5747357888104,22.7066935150201,HIST
01.03.2003,19.5747357888104,18.791746357258,HIST
01.04.2003,20.3577252203628,20.5613024725664,HIST
01.05.2003,20.9684569769737,20.3394032676645,HIST
01.06.2003,22.0168798258224,22.8975550188553,HIST
01.07.2003,23.1177238171135,24.9671417224826,HIST
01.08.2003,23.3489010552846,27.318214234683,HIST
01.09.2003,23.8158790763903,29.2935312639601,HIST
01.10.2003,24.2921966579181,26.4784943571308,HIST
01.11.2003,25.506806490814,25.2517384259059,HIST
01.12.2003,25.506806490814,26.0169426206303,HIST
01.01.2004,25.2517384259059,24.4941862731287,HIST
01.02.2004,23.9891515046106,27.8274157453483,HIST
01.03.2004,25.6683921099334,30.5453866108207,HIST
01.04.2004,27.721863478728,31.0484870961754,HIST
01.05.2004,29.1079566526644,32.6009114509842,HIST
01.06.2004,28.5257975196111,31.9488932219645,HIST
01.07.2004,27.6700235940228,27.946723829963,HIST
01.08.2004,29.6069252456044,30.1990637505165,HIST
01.09.2004,29.6069252456044,33.455825527533,HIST
01.10.2004,28.1265789833242,32.0643000409896,HIST
01.11.2004,27.8453131934909,27.8453131934909,HIST
01.12.2004,28.9591257212306,35.040542122689,HIST
01.01.2005,30.6966732645044,31.9245401950846,HIST
01.02.2005,30.6966732645044,36.2220744521152,HIST
01.03.2005,29.4688063339242,30.9422466506204,HIST
01.04.2005,30.6475585872812,36.1641191329918,HIST
01.05.2005,29.42165624379,27.9505734316005,HIST
01.06.2005,29.7158728062279,29.7158728062279,HIST
01.07.2005,29.1215553501033,35.528297527126,HIST
01.08.2005,29.1215553501033,29.7039864571054,HIST
01.09.2005,31.1600642246105,32.7180674358411,HIST
01.10.2005,31.1600642246105,34.2760706470716,HIST
01.11.2005,32.7180674358411,39.2616809230093,HIST
01.12.2005,31.4093447384074,38.3194005808571,HIST
01.01.2006,31.4093447384074,35.4925595544004,HIST
01.02.2006,32.3516250805597,39.4689825982828,HIST
01.03.2006,34.9397550870044,38.7831281465749,HIST
01.04.2006,33.5421648835242,33.5421648835242,HIST
01.05.2006,32.8713215858538,40.4317255506001,HIST
01.06.2006,34.1861744492879,37.9466536387096,HIST
01.07.2006,35.2117596827665,43.6625820066305,HIST
01.08.2006,35.9159948764219,34.8385150301292,HIST
01.09.2006,35.5568349276577,41.2459285160829,HIST
01.10.2006,33.7789931812748,42.2237414765935,HIST
01.11.2006,32.4278334540238,39.8862351484493,HIST
01.12.2006,34.049225126725,40.85907015207,HIST
01.01.2007,36.0921786343285,44.7543015065673,HIST
01.02.2007,35.0094132752986,35.0094132752986,HIST
01.03.2007,35.0094132752986,41.3111076648524,HIST
01.04.2007,36.4097898063106,37.5020835004999,HIST
01.05.2007,36.7738877043737,37.8771043355049,HIST
01.06.2007,35.6706710732425,36.0273777839749,HIST
01.07.2007,37.810911337637,37.4328022242606,HIST
01.08.2007,35.9203657707552,35.20195845534,HIST
01.09.2007,38.7939950324156,42.6733945356571,HIST
01.10.2007,41.1216347343605,42.3552837763913,HIST
01.11.2007,42.7665001237349,40.6281751175482,HIST
01.12.2007,42.3388351224976,41.9154467712726,HIST
01.01.2008,41.0686700688226,42.3007301708873,HIST
01.02.2008,41.8900434701991,43.1467447743051,HIST
01.03.2008,41.8900434701991,42.7278443396031,HIST
01.04.2008,42.3089439049011,49.9245538077833,HIST
01.05.2008,41.0396755877541,41.4500723436316,HIST
01.06.2008,38.9876918083664,46.395353251956,HIST
01.07.2008,37.038307217948,42.9644363728197,HIST
01.08.2008,40.0013717953839,46.0015775646915,HIST
01.09.2008,42.8014678210608,41.0894091082183,HIST
01.10.2008,41.9454384646395,51.5928893115066,HIST
01.11.2008,44.8816191571643,49.3697810728807,HIST
01.12.2008,44.8816191571643,44.4328029655927,HIST
01.01.2009,47.1257001150225,56.0795831368768,HIST
01.02.2009,44.7694151092714,43.874026807086,HIST
01.03.2009,43.4263326559933,47.3347025950327,HIST
01.04.2009,44.2948593091131,42.5230649367486,HIST
01.05.2009,42.9660135298397,42.5363533945413,HIST
01.06.2009,44.6846540710333,54.962124507371,HIST
01.07.2009,48.259426396716,48.7420206606831,HIST
01.08.2009,50.6723977165518,57.766533396869,HIST
01.09.2009,48.1387778307242,51.9898800571821,HIST
01.10.2009,47.1760022741097,58.9700028426371,HIST
01.11.2009,46.2324822286275,49.4687559846314,HIST
01.12.2009,44.8455077617687,44.8455077617687,HIST
01.01.2010,43.9485976065333,39.1142518698147,HIST
01.02.2010,46.14602748686,41.0699644633054,HIST
01.03.2010,48.9147891360716,37.6643876347751,HIST
01.04.2010,47.9364933533501,38.8285596162136,HIST
01.05.2010,50.8126829545512,49.2883024659146,HIST
01.06.2010,50.8126829545512,40.6501463636409,HIST
01.07.2010,52.8451902727332,45.4468636345506,HIST
01.08.2010,55.4874497863699,57.7069477778247,HIST
01.09.2010,52.7130772970514,51.6588157511103,HIST
01.10.2010,50.0774234321988,52.0805203694868,HIST
01.11.2010,49.5766491978768,45.1147507700679,HIST
01.12.2010,50.5681821818344,41.9715912109225,HIST
01.01.2011,50.5681821818344,48.545454894561,HIST
01.02.2011,53.6022731127444,55.2103413061268,HIST
01.03.2011,53.066250381617,48.8209503510876,HIST
01.04.2011,50.4129378625361,51.4211966197868,HIST
01.05.2011,48.90054972666,49.8785607211932,HIST
01.06.2011,51.345577212993,49.2917541244733,HIST
01.07.2011,49.2917541244733,48.7988365832286,HIST
01.08.2011,49.7846716657181,49.2868249490609,HIST
01.09.2011,53.2695986823183,43.1483749326778,HIST
01.10.2011,56.9984705900806,52.4385929428741,HIST
01.11.2011,57.5684552959814,51.2359252134235,HIST
01.12.2011,57.5684552959814,58.1441398489412,HIST
01.01.2012,55.841401637102,49.1404334406497,HIST
01.02.2012,56.399815653473,41.73586358357,HIST
01.03.2012,53.5798248707993,42.8638598966395,HIST
01.04.2012,55.1872196169233,43.5979034973694,HIST
01.05.2012,55.7390918130925,42.3617097779503,HIST
01.06.2012,53.5095281405688,40.1321461054266,HIST
01.07.2012,55.6499092661916,53.9804119882058,HIST
01.08.2012,55.0934101735297,46.8293986475002,HIST
01.09.2012,56.7462124787356,57.8811367283103,HIST
01.10.2012,53.9089018547988,48.5180116693189,HIST
01.11.2012,51.2134567620589,41.4828999772677,HIST
01.12.2012,51.2134567620589,51.7255913296795,HIST
01.01.2013,48.6527839239559,45.247089049279,HIST
01.02.2013,49.6258396024351,48.137064414362,HIST
